N°,Tipo de Imagem de treino,Presença de Artefato,Tamanho da Imagem,Tipo de Redimensionamento,Treinamento,Teste,Máscara,Espaço da Espiral,Modo da Espiral,Intervalo inicial da máscara Treino,Intervalo da máscara Treino,Intervalo inicial da máscara Teste,Intervalo da máscara Teste,Batch Size,N° Steps ,Buffer Size,Número de imagens para calcular métricas,SSIM input(%),SNR input,SSIM predicted(%),SNR predicted,SSIM In SD,SNR In SD,SSIM Pr SD,SNR Pr SD,Observações,Erro,SSIM Real,SSIM Imaginária,SNR Real,SNR Imaginária,RSSIM,Teste,Ordem Teste,RSNR,Relação
37,Imagem Final,Não,512x512,Completar com zero,800,173,Spiral4,-,-,-,16,16,-,1,1000,400,21,"0,31","4,81","0,54","6,85",,,,,,,,,,,"1,751",,,"1,424","0,947"
38,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,50,50,-,1,1000,400,21,"0,73","5,70","0,72","5,31",,,,,,,,,,,"0,989",,,"0,931","0,714"
39,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,50,50,-,1,1000,400,21,"0,72","5,57","0,72","5,04",,,,,,,,,,,"1,001",,,"0,904","0,718"
40,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,50,50,-,10,1000,400,5,"0,75","4,11","0,75","5,46",,,,,,,,,,,"0,997",,,"1,329","0,743"
41,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,16,16,-,10,1000,400,5,"0,30","3,83","0,56","5,15",,,,,,,,,,,"1,898",,,"1,343","1,071"
42,Imagem Final,Não,512x512,Completar com zero,600,373,Spiral4,-,-,-,16,16,-,10,1000,400,21,"0,30","4,29","0,55","5,97",,,,,,,,,,,"1,824",,,"1,392","1,010"
43,Imagem Final,Não,512x512,Completar com zero,600,373,Spiral4,-,-,-,16,16,-,1,1000,1000,21,"0,31","4,80","0,58","6,56",,,,,,,,,,,"1,874",,,"1,368","1,095"
44,Imagem Final,Não,512x512,Completar com zero,600,373,Spiral4,-,-,-,32,16,-,1,1000,1000,21,"0,32","4,22","0,48","2,84",,,,,,,,,,,"1,531",,,"0,673","0,741"
45,Imagem Final,Não,512x512,Completar com zero,600,373,Spiral4,-,-,-,16,32,-,1,1000,1000,21,"0,49","4,93","0,62","5,70",,,,,,,,,,,"1,265",,,"1,155","0,782"
46,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,32,32,-,1,1000,1000,21,"0,49","4,75","0,65","3,90",,,,,"Mesmo número de camadas que os outros testes, abaixo desse todos tem validação com número igual ao de imagens de treino e mesmas especificações",,,,,,"1,334",,,"0,820","0,872"
47,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,32,32,-,1,1000,1000,21,"0,50","5,40","0,60","4,76",,,,,Esse e todos abaixo tem uma camada a mais,,,,,,"1,200",,,"0,882","0,716"
48,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral4,-,-,-,32,32,-,1,50,1000,21,"0,49","4,61","0,56","4,38",,,,,,,,,,,"1,162",,,"0,951","0,655"
49,Imagem Final,Não,512x512,Completar com zero,100,50,Radial,-,-,-,20,20,-,1,50,1000,21,"0,51","5,37","0,53","6,04",,,,,,,,,,,"1,049",,,"1,124","0,557"
50,Imagem Final,Não,512x512,Completar com zero,100,50,Radial,-,-,-,20,20,-,1,50,1000,21,"0,36","5,48","0,52","7,03",,,,,,,,,,,"1,464",,,"1,284","0,763"
51,Imagem Final,Não,512x512,Completar com zero,100,50,HF Vertical,-,-,8,1,8,1,1,50,400,21,"0,60","6,11","0,61","5,79",,,,,,,,,,,"1,016",,,"0,948","0,618"
52,Imagem Final,Não,512x512,Completar com zero,100,50,HF Vertical,-,-,8,1,8,1,1,50,400,50,"0,42","5,71","0,52","6,68",,,,,,,,,,,"1,247",,,"1,169","0,648"
53,Imagem Final,Não,512x512,Completar com zero,100,50,Random,-,-,-,30,30,-,1,50,400,50,"0,23","0,47","0,50","6,98","0,10","2,33","0,04","3,19",,,,,,,"2,124",,,"14,753","1,053"
